IMG_ID,ENG,HIN,RUS
IMG_0343.jpg,"The son, who embodies laziness, lounges on the couch, surrounded by empty chip bags and soda cans.","बेटा, जो आलस्य का प्रतीक है, खाली चिप बैग और सोडा के डिब्बे से घिरा हुआ, सोफे पर आराम कर रहा है।","Ленивый сын, не в силах больше сдерживать ревность, уходит."
IMG_0348.jpg,"The son, sleeps over on the same place where he has been lying whole day.","बेटा, पूरे दिन जहां पड़ा रहता है, वहीं सो जाता है।","Сын ночует на том же месте, где лежал целый день."
IMG_0353.jpg,The father glances at the mess with a frustrated expression.,पिता निराश भाव से गंदगी को देखता है।,"
Отец смотрит на беспорядок с разочарованным выражением лица, а мать вздыхает."
IMG_0361.jpg,"The father, his patience running thin.","पिता, उसका धैर्य ख़त्म हो रहा है।","
Отец, его терпение на исходе."
IMG_0385.jpg,Father approaches the son and asks him to help with cleaning.,पिता बेटे के पास जाता है और उससे सफाई में मदद करने के लिए कहता है।,"
Отец подходит к сыну и просит помочь с уборкой."
IMG_0381.jpg,"The father, with a stern expression, asks his son to change his behavior.",पिता सख्त भाव के साथ अपने बेटे से अपना व्यवहार बदलने के लिए कहता है।,"
Отец с суровым выражением лица просит сына изменить свое поведение."
IMG_0619.jpg,The lazy son is delighting in squandering his time.,आलसी पुत्र को अपना समय बर्बाद करने में आनंद आता है।,Ленивый сын с удовольствием тратит свое время.
IMG_1223.jpg,"Son's messy study table with scattered books, crumpled papers","बेटे की अस्त-व्यस्त स्टडी टेबल, बिखरी किताबें, मुड़े-तुड़े कागज ।",Грязный рабочий стол сына с разбросанными книгами и мятыми бумагами.
IMG_0631.jpg,Father enters the son's room.,पिता पुत्र के कमरे में प्रवेश करता है।,Отец входит в комнату сына.
IMG_0632.jpg,Father's face turns to anger.,पिता का चेहरा गुस्से से बदल जाता है.,Лицо отца превращается в гнев.
IMG_0634.jpg,The father notices his son's continuous laziness.,पिता ने अपने बेटे के निरंतर आलस्य को नोटिस किया।,Отец замечает постоянную лень сына.
IMG_0639.jpg,Father starts to clean up the mess with a sullen expression,पिता उदास भाव से गंदगी साफ करने लगते हैं।,Отец с угрюмым выражением лица начинает наводить порядок.
IMG_0646.jpg,"The lazy son walks into the room, his shoes covered in dirt.","आलसी बेटा कमरे में आता है, उसके जूते गंदगी में सने हुए हैं।","Ленивый сын заходит в комнату, его обувь вся в грязи."
IMG_0649.jpg,Father tries to engage son in conversation.,पिता बेटे को बातों में उलझाने की कोशिश करता है ।,Отец пытается вовлечь сына в разговор.
IMG_0653.jpg,The lazy son casually tosses crumpled paper onto the table.,आलसी बेटा लापरवाही से मुड़े-तुड़े कागज को मेज पर फेंक देता है।,Ленивый сын небрежно бросает на стол скомканную бумагу.
IMG_0656.jpg,"The father, now furious, raises his voice asks the son tidy up the table.","पिता, अब क्रोधित होकर, अपनी आवाज उठाता है और बेटे से मेज साफ करने को कहता है।",Разъяренный отец повышает голос и просит сына убрать со стола.
IMG_0657.jpg,"The son responds with indifference, barely acknowledging his father's presence.","बेटा उदासीनता से प्रतिक्रिया करता है, बमुश्किल अपने पिता की उपस्थिति को स्वीकार करता है।","Сын отвечает безразлично, едва замечая присутствие отца."
IMG_0662.jpg,The lazy son walking out of the room.,आलसी बेटा कमरे से बाहर निकल रहा है।,Ленивый сын выходит из комнаты.
IMG_0671.jpg,"The father, growing increasingly frustrated and disheartened continues to clean the son's place.","पिता, लगातार हताश और निराश होते हुए बेटे की जगह को साफ करना जारी रखता है।","Отец, все больше расстраиваясь и впадая в уныние, продолжает убирать жилище сына."
IMG_0381.jpg,The father has hit a breaking point with his son's behavior.,पिता को अपने बेटे के व्यवहार से दुख पहुंचा है।,Отец достиг критической точки в поведении сына.
IMG_0343.jpg,"The son is seen lounging on the couch, surrounded by mess, and playing video games.","बेटा सोफे पर आराम कर रहा है, गंदगी से घिरा हुआ है और वीडियो गेम खेल रहा है।","Видно, как сын бездельничает на диване, окруженный беспорядком, и играет в видеоигры."
IMG_0387.jpg,The father's frustration intensifies as he pleads with the son to take responsibility for his actions.,पिता की हताशा और भी बढ़ जाती है क्योंकि वह बेटे से अपने कार्यों की जिम्मेदारी लेने की विनती करता है।,"Разочарование отца усиливается, когда он умоляет сына взять на себя ответственность за свои действия."
IMG_0694.jpg,"The father angrily points toward the door, telling the son to go out of the house",पिता गुस्से में दरवाजे की ओर इशारा करते हुए बेटे को घर से बाहर जाने के लिए कहते हैं।,"Отец сердито указывает на дверь, приказывая сыну выйти из дома."
IMG_0696.jpg,"The son, dismisses his father's words.","
बेटा, अपने पिता की बात को खारिज कर देता है।",Сын отвергает слова отца.
IMG_0702.jpg,The lazy son is evading his father's advice or instructions.,आलसी पुत्र अपने पिता की सलाह या निर्देशों से बच रहा है।,Ленивый сын уклоняется от советов и указаний отца.
IMG_0706.jpg,The son persists in disregarding his father's advice and continues to be absorbed in his phone.,बेटा अपने पिता की बात को अनसुना कर अपने फोन में ही खोया रहता है।,Сын упорно игнорирует советы отца и продолжает сидеть в телефоне.
IMG_0707.jpg,The father gathers the son's belongings.,पिता पुत्र का सामान इकट्ठा करता है।,Отец собирает вещи сына.
IMG_0708.jpg,The angry father tosses his son's belongings.,गुस्साए पिता ने बेटे का सामान फेंक दिया।, Разгневанный отец выбрасывает вещи сына.
IMG_0712.jpg,The son is astonished by his father's actions.,बेटा अपने पिता की हरकत से हैरान है ।,Сын удивлен действиями отца.
IMG_0716.jpg,"The son, now feeling regretful, starts packing a bag.",बेटे को अब पछतावा हो रहा है और वह बैग पैक करना शुरू कर देता है।,"Сын, испытывая сожаление, начинает собирать сумку."
IMG_0704.jpg,The father opens the door for his son.,पिता अपने बेटे के लिए दरवाज़ा खोलता है।,Отец открывает дверь сыну.
IMG_0727.jpg,"The son, with a heavy heart, retrieves his bag while feeling a sense of sadness.",बेटा भारी मन से उदासी का भाव महसूस करते हुए अपना बैग निकाल लेता है।,"Сын с тяжелым сердцем достает свою сумку, чувствуя грусть."
IMG_0734.jpg,"The son walks toward the door, his emotions evident in his every step.","बेटा दरवाजे की ओर बढ़ता है, उसकी भावनाएँ उसके हर कदम पर स्पष्ट होती हैं।","Сын идет к двери, его эмоции очевидны на каждом шагу."
IMG_0740.jpg,Son is stressed as he walks through the door.,दरवाजे से गुजरते समय बेटा तनावग्रस्त है।,"Сын в стрессе, входя в дверь."
IMG_0446.jpg,"The son stands at the door, with a mix of anger and sadness.",बेटा गुस्से और उदासी के मिश्रण के साथ दरवाजे पर खड़ा है।,Сын стоит у двери со смесью гнева и печали.
IMG_0742.jpg,"The father watches as the son leaves the house, his expression reflecting a sense of finality.","पिता बेटे को घर से निकलते हुए देखता है, उसकी अभिव्यक्ति में अंतिमता का भाव झलकता है।","Отец наблюдает, как сын выходит из дома, и выражение его лица отражает ощущение завершенности."
IMG_0685.jpg,"The son is seen walking down the street, with a dejected expression.",बेटे को उदास भाव से सड़क पर चलते देखा जा सकता है।,Сын идет по улице с удрученным выражением лица.
IMG_0898.jpg,"The father, alone in the house, sits on the chair, pondering his decision.",घर में अकेले पिता कुर्सी पर बैठे अपने निर्णय पर विचार कर रहे हैं।,"Отец, один в доме, сидит на стуле, обдумывая свое решение."
IMG_0692.jpg,He is angry and hits the dumpster.,वह क्रोधित है और कूड़ेदान पर प्रहार करता है।,Он злится и бьет по мусорному контейнеру.
IMG_0457.jpg,Lazy Son hears a noise coming from a dumpster and walks over to investigate.,आलसी बेटा कूड़ेदान से आ रही आवाज़ सुनता है और जाँच करने के लिए उसके पास आता है।,"Ленивый сын слышит шум от мусорного контейнера, и подходит, чтобы расследовать."
IMG_0463.jpg,Finds a ROBOT lying near the trash.,कुडे के पास एक रोबोट पड़ा हुआ मिलता है,"Находит робота, лежащего возле мусора."
IMG_0465.jpg,The lazy son looks at the robot with curiosity.,आलसी बेटा जिज्ञासा से रोबोट को देखता है।,Ленивый сын смотрит на робота с любопытством.
IMG_0468.jpg,He picks it up and examines it.,वह उसे उठाता है और उसकी जांच करता है।,Он поднимает это и осматривает.
IMG_0471.jpg,He places the Robot on the chair.,वह रोबोट को कुर्सी पर रखता है।,Он помещает робота на стул.
IMG_0751.jpg,Lazy son is pulling the Robot to another chair to sit on it.,आलसी बेटा रोबोट को खींचकर दूसरी कुर्सी पर बैठा रहा है।,"Ленивый сын тянет робота к другому стулу, чтобы сесть на него."
IMG_0754.jpg,He shrugs and puts the Robot down on a nearby crate.,वह कंधे उचकाता है और रोबोट को पास के टोकरे पर रख देता है।,Он пожимает плечами и кладет робота на ближайший ящик.
IMG_0759.jpg,"He tries to turn it on, but nothing happens.","वह इसे चालू करने की कोशिश करता है, लेकिन कुछ नहीं होता।","Он пытается включить это, но ничего не происходит."
IMG_0766.jpg,He repairs and turn it on again.,वह उसकी मरम्मत करता है और उसे फिर से चालू करता है।,Он снова ремонтирует и включает его.
IMG_0772.jpg,"He checks if Robot is working or not, but found Robot can't see.","वह जाँचता है कि रोबोट काम कर रहा है या नहीं, लेकिन पाया गया कि रोबोट देख नहीं सकता।","Он проверяет, работает ли робот или нет, но обнаружил, что робот не видит."
IMG_0779.jpg,He takes out a notebook and starts writing down all the problems with the robot.,वह एक नोटबुक निकालता है और रोबोट की सभी समस्याओं को लिखना शुरू कर देता है।,Он достает ноутбук и начинает записывать все проблемы с роботом.
IMG_0789.jpg,He's been working on creating an AI specs for the robot's vision system.,वह रोबोट के विज़न सिस्टम के लिए AI स्पेक्स बनाने पर काम कर रहा है।,Он работал над созданием спецификаций ИИ для системы зрения робота.
IMG_0793.jpg,He finishes typing and looks at the AI glasses.,वह टाइपिंग समाप्त करता है और एआई चश्मे को देखता है।,Он заканчивает печатать и смотрит на очки ИИ.
IMG_0795.jpg,He takes a pair of glasses and puts them on the robot's eyes.,वह चश्मे का एक जोड़ा लेता है और उसे रोबोट की आंखों पर रख देता है।,Он берет пару очков и кладет их на глаза робота.
IMG_0800.jpg,"He tests again, and now Robot can see clearly.","वह फिर से परीक्षण करता है, और अब रोबोट स्पष्ट रूप से देख सकता है।","Он снова проверяет, и теперь робот может ясно видеть."
IMG_0802.jpg,LAZY SON: Who are you?,आलसी बेटा (रोबोट से): तुम कौन हो?,Ленивый сын (роботу): Кто ты?
IMG_0807.jpg,"(In a robotic voice)
Hi. I am Robo
Speed 1 terahertz
Memory 1 zetabyte","(रोबोटिक आवाज में)
नमस्ते। मैं रोबो हूं
स्पीड 1 टेराहर्ट्ज़
मेमोरी 1 ज़ेटाबाइट","(Роботизированным голосом)
Привет. Я робо
Скорость 1 Терагерц
Память 1 Зетабайт"
IMG_0805.jpg,The lazy son smiles. He's happy that he was able to fix the robot's vision.,आलसी बेटा मुस्कुराता है. वह खुश है कि वह रोबोट की दृष्टि को ठीक करने में सक्षम था।,"Ленивый сын улыбается. Он счастлив, что смог исправить видение робота."
IMG_0398.jpg,"The son, outside, encounters some challenges as he struggles to find shelter.","बेटा, बाहर, कुछ चुनौतियों का सामना करता है क्योंकि वह आश्रय खोजने के लिए संघर्ष करता है।","Сын на улице сталкивается с некоторыми трудностями, пытаясь найти убежище."
IMG_0896.jpg,"The father is sitting on the chair, looking contemplative and lost.",पिता कुर्सी पर बैठे चिंतनमग्न और खोए हुए दिख रहे हैं।,Отец сидит на стуле с задумчивым и потерянным видом.
IMG_1011.jpg,The father starts researching adoption on his phone.,पिता अपने फोन पर गोद लेने के बारे में शोध करना शुरू करते हैं।,Отец начинает исследовать вопрос об усыновлении на своем телефоне.
IMG_0907.jpg,The father enters the adoption center with desire to adopt a child.,"
बच्चे को गोद लेने की इच्छा लेकर पिता दत्तक ग्रहण केंद्र में प्रवेश करता है।",Отец приходит в центр усыновления с желанием усыновить ребенка.
IMG_0935.jpg,The father’s eyes filled with hope and determination as he enters the center.,केंद्र में प्रवेश करते ही पिता की आँखें आशा और दृढ़ संकल्प से भर गईं।,"Глаза отца наполнились надеждой и решимостью, когда он входит в центр."
IMG_0421.jpg,"Sourabh,  who is sitting quietly with a book.","सौरभ, जो एक किताब लेकर चुपचाप बैठा है।","Сураб, тихо сидящий с книгой."
IMG_0937.jpg,The father notices Sourabh.,पिता की नजर सौरभ पर पड़ी।,Отец замечает Сураба.
IMG_0912.jpg,The Father and Sourabh engage in a deep conversation. ,पिता और सौरभ गहन बातचीत में लगे हुए हैं।,Отец и Сураб ведут глубокий разговор.
IMG_0914.jpg,Sourabh appears cautious but interested and offers seat to the gentleman.,सौरभ सतर्क लेकिन दिलचस्पी दिखाते हुए सज्जन को सीट प्रदान करते हैं।,"Сураб выглядит осторожным, но заинтересованным и предлагает джентльмену место."
IMG_0922.jpg,The father and Sourabh share a moment of understanding.,पिता और सौरभ ने आपसी समझ का एक क्षण साझा किया।,Отец и Сураб разделяют момент взаимопонимания.
IMG_0927.jpg,A bond starting to form between them.,उनके बीच एक बंधन बनना शुरू हो गया है।,Между ними начинает формироваться связь.
IMG_0939.jpg,Father completes the formalities with the social worker of the adoption center.,पिता ने दत्तक ग्रहण केंद्र के सामाजिक कार्यकर्ता के साथ औपचारिकताएं पूरी कीं।,Отец оформляет формальности с социальным работником центра усыновления.
IMG_0933.jpg,Sourabhb starts packing his belongings with a mixture of hope and caution.,"
आशा और सावधानी के मिश्रण के साथ सौरभ ने अपना सामान पैक करना शुरू कर दिया।",Сураб начинает собирать свои вещи со смесью надежды и осторожности.
IMG_0437.jpg,The father is pleased with his son's conduct and academic performance.,"
पिता अपने बेटे के आचरण और शैक्षणिक प्रदर्शन दोनों से प्रसन्न हैं।","Отец доволен как поведением сына, так и успеваемостью."
IMG_0440.jpg,"The father offers words of encouragement, reinforcing his pride in his son's commitment towards academics. ",पिता ने शिक्षा के प्रति अपने बेटे की प्रतिबद्धता पर गर्व करते हुए प्रोत्साहन के शब्द कहे।,"
Отец произносит слова поддержки, усиливая свою гордость за преданность сына учебе."
IMG_1021.jpg,The father and Sourabh sit down at a small table in a cozy corner of the center.,पिता और सौरभ केंद्र के एक आरामदायक कोने में एक छोटी सी मेज पर बैठते हैं।,Отец и Сураб садятся за небольшой столик в уютном уголке центра.
IMG_1022.jpg,"The father and son Sourabh engage in a lively conversation, smiles on their faces.","पिता और पुत्र सौरभ जीवंत बातचीत में व्यस्त हैं, उनके चेहरे पर मुस्कान है।","Отец и сын Сураб оживленно беседуют, на их лицах улыбки."
IMG_1006.jpg,"In the background, the lazy son standing alone looking disinterested and envious.","पृष्ठभूमि में, अकेला खड़ा आलसी बेटा उदासीन और ईर्ष्यालु दिख रहा है।",На заднем плане ленивый сын стоит один и выглядит бескорыстным и завистливым.
IMG_1008.jpg,"They continue to bond, sharing a deeper connection.","वे आपस में जुड़ना जारी रखते हैं, एक गहरा संबंध साझा करते हैं।","Они продолжают сближаться, разделяя более глубокую связь."
IMG_1001.jpg,"The lazy son watches, frustration building as he feels left out.","आलसी बेटा देखता है, हताशा पैदा करता है क्योंकि वह महसूस करता है कि उसे छोड़ दिया गया है।","Ленивый сын наблюдает, и его нарастает разочарование, поскольку он чувствует себя обделенным."
IMG_0683.jpg,"The lazy son, unable to contain his jealousy any longer, leaves the place.","आलसी बेटा, अपनी ईर्ष्या को और अधिक नियंत्रित करने में असमर्थ होकर, वहां से चला जाता है।","Ленивый сын, не в силах больше сдерживать ревность, уходит."
IMG_0805.jpg,The lazy son smiles. He's happy that he was able to fix the robot's vision.,आलसी बेटा मुस्कुराता है. वह खुश है कि वह रोबोट की दृष्टि को ठीक करने में सक्षम था।,"Ленивый сын улыбается. Он счастлив, что смог исправить видение робота."
IMG_0808.jpg,Lazy Son instructs the Robot to Kill the adopted son.,आलसी बेटा रोबोट को दत्तक पुत्र को मारने का निर्देश देता है।,Ленивый сын инструктирует робота убить приемного сына.
IMG_0808.jpg,Robot - Scans the image of the adopted son and recognizes whom to kill,रोबोट - दत्तक पुत्र की छवि को स्कैन करता है और किसको मारता है,"Робот - сканирует образ приемного сына и признает, кого убить"
IMG_0809.jpg,"LAZY SON:
Watch carefully. This is how you fight.","आलसी बेटा (रोबोट से):
ध्यान से देखें। ऐसे करते हैं लड़ाई.''","Ленивый сын (роботу):
Внимательно следить. Вот как ты сражаешься."
IMG_0812.jpg,The lazy son is showing the robot a video of a fight scene.,आलसी बेटा रोबोट को एक लड़ाई के दृश्य का वीडियो दिखा रहा है।,Ленивый сын показывает роботу видео сцены боя.
IMG_0808.jpg,The robot watches the video intently,रोबोट वीडियो को ध्यान से देखता है,Робот пристально смотрит видео
IMG_0820.jpg,Lazy son takes the robot to garden.,आलसी बेटा रोबोट को बगीचे में ले जाता है।,Ленивый сын ведет робота в сад.
IMG_0815.jpg,The lazy son and the robot are standing in a park. The lazy son is showing the robot some fighting techniques.,आलसी बेटा और रोबोट एक पार्क में खड़े हैं। आलसी बेटा रोबोट को लड़ने की कुछ तकनीकें दिखा रहा है।,Ленивый сын и робот стоят в парке. Ленивый сын показывает роботу некоторые методы борьбы.
IMG_0817.jpg,"LAZY SON:
Punch the tree!","आलसी बेटा
पेड़ पर मुक्का मारो!","Ленивый сын
Ударь по дереву!"
IMG_0826.jpg,Robot bashes his head!!,रोबोट ने अपना सिर पीटा!!,Робот избивает голову !!
IMG_0827.jpg,"LAZY SON:
That's wrong, do it with hands.","आलसी बेटा
यह गलत है, इसे हाथों से करो।","Ленивый сын
Это неправильно, делай это руками."
IMG_0831.jpg,"LAZY SON:
Do it with hand!!","आलसी बेटा
हाथ से करो!!","Ленивый сын
Сделай это с рукой !!"
IMG_0834.jpg,Robot punches the tree with hand.,रोबोट हाथ से पेड़ पर मुक्का मारता है.,Робот бьет по дереву рукой.
IMG_0833.jpg,"LAZY SON: Again!
The robot punches the tree again, harder this time.","आलसी बेटा - फिरसे
रोबोट फिर से पेड़ पर मुक्का मारता है, इस बार और ज़ोर से।","Ленивый сын - снова!
Робот снова бьет по дереву, на этот раз тяжелее."
IMG_0841.jpg,"LAZY SON:
Good! Now, try a kick.
The robot kicks the tree.","आलसी बेटा
अच्छा! अब एक किक का प्रयास करो.
रोबोट पेड़ को लात मारता है.","Ленивый сын
Хороший! Теперь попробуйте удар.
Робот пинает дерево."
IMG_0829.jpg,"LAZY SON:
Excellent!","आलसी बेटा
अतिउत्तम!","Ленивый сын
Отличный!"
IMG_0856.jpg,Adopted Son is immersed in reading.,दत्तक पुत्र पढ़ने में लीन रहता है।,Приёмный сын погружен в чтение.
IMG_0866.jpg,"The father, beaming with happiness.","पिता, ख़ुशी से झूम उठे।","Отец, сияющий от счастья"
IMG_0873.jpg,"You know, we should go out and explore today, my son!","तुम्हें पता है, हमें आज बाहर जाकर खोजबीन करनी चाहिए, मेरे बेटे!","Знаешь, нам сегодня стоит пойти и исследовать окрестности, сын мой!"
IMG_0885.jpg,"Sourabh walks on the roads, finding place to sit and enjoy!","सड़कों पर चलते हैं, बैठने और आनंद लेने के लिए जगह ढूंढते हैं!","Сураб гуляет по дорогам, находя место, где можно посидеть и насладиться!"
IMG_0887.jpg,"Adopted son sit outside the parlor, chatting and watching the world go by.","गोद लिया हुआ बेटा पार्लर के बाहर बैठा है, बातें कर रहा है और दुनिया भर को देख रहा है।","Приемный сын сидит возле гостиной, болтает и наблюдает за происходящим в мире."
IMG_0945.jpg,"LAZY SON:
Go and kill him","आलसी बेटा
जाओ और उसे मार डालो","Ленивый сын
Иди и убей его"
IMG_0891.jpg,Robot moving towards adopted son,दत्तक पुत्र की ओर बढ़ता रोबोट,Робот движется к усыновленному сыну
IMG_0888.jpg,The adopted son sitting in the garden and enjoying his own time.,दत्तक पुत्र बगीचे में बैठा है और अपने समय का आनंद ले रहा है।,Приемный сын сидит в саду и наслаждается своим временем.
IMG_0950.jpg,Robot comes from behind with knife and tries to kill.,रोबोट पीछे से चाकू लेकर आता है और मारने की कोशिश करता है.,Робот приходит сзади с ножом и пытается убить.
IMG_0895.jpg,"Adopted Son - Shocked
ROBOT:
(In a robotic voice)
I am instructed to terminate you.","दत्तक पुत्र - स्तब्ध
रोबोट
(रोबोटिक आवाज में)
मुझे तुम्हें बर्खास्त करने का निर्देश दिया गया है.","Приемный сын - шокирован
Робот
(Роботизированным голосом)
Мне приказано прекратить вас."
IMG_0958.jpg,"Suddenly, the lazy son's father appears and finds his own son sitting with laptop.","अचानक, आलसी बेटे का पिता प्रकट होता है और देखता है कि उसका लड़का लैपटॉप लेके बैठा है","Внезапно появляется отец ленивого сына и находит своего собственного сына, сидящего с ноутбуком."
IMG_0971.jpg,"FATHER:
(To the lazy son)
I understand now. You're the one who's been behind all of this. You're the one who's been trying to kill your brother.","पिता
(आलसी बेटे के लिए)
अब मैं समझा। तुम ही जो इन सब के पीछे। तुम ही हो जो तुम्हारे भाई को मारने की कोशिश कर रहे हो।","ОТЕЦ
(Ленивому сыну)
Теперь я понимаю. Ты тот, кто был за всем этим. Ты тот, кто пытался убить твоего брата."
IMG_0972.jpg,The lazy son ignores and focuses on killing the adopted son.,आलसी पुत्र ध्यान नहीं देता और दत्तक पुत्र को मारने पर ध्यान केंद्रित करता है।,Ленивый сын игнорирует и фокусируется на убийстве приемного сына.
IMG_0961.jpg,"FATHER:
(To the adopted son)
I'm so sorry. I made a big mistake. I thought that my biological son is not important as you were lazy. But now I realise it was my fault. Please don't kill!!!
","पिता
(आलसी बेटे से)
मैं माफ़ी चाहता हूँ. मुझसे बहुत बड़ी गलती हो गयी. मैंने सोचा कि मेरा जैविक पुत्र महत्वपूर्ण नहीं है क्योंकि तुम आलसी थे। लेकिन अब मुझे एहसास हुआ कि यह मेरी गलती थी। कृपया उसे मत मारो!!!","ОТЕЦ
(Для приемного сына)
Мне очень жаль. Я сделал большую ошибку. Я думал, что мой биологический сын не важен, так как ты был ленив. Но теперь я понимаю, что это была моя вина. Пожалуйста, не убивай !!!
"
IMG_0968.jpg,"Lazy Son:
You have thrown me out. Now why are you even requesting? I don't know who are you?","आलसी बेटा
आपने मुझे बाहर निकाल दिया है. अब आप अनुरोध क्यों कर रहे हैं? मैं नहीं जानता आप कौन हैं?","Ленивый сын
Вы меня выбрасывали. Теперь почему вы вообще просите? Я не знаю, кто ты?"
IMG_0970.jpg,"FATHER:
I know I haven't been the best father. But I'm going to change that. I'm going to be a better father to both of you.","पिता
मैं जानता हूं कि मैं सबसे अच्छा पिता नहीं बन पाया हूं। लेकिन मैं इसे बदलने जा रहा हूं. मैं तुम दोनों के लिए बेहतर पिता बनुगा।","ОТЕЦ
Я знаю, что не был лучшим отцом. Но я собираюсь это изменить. Я буду лучшим отцом для вас обоих."
IMG_0978.jpg,"LAZY SON:
Changes his mind and stops the robot to kill.","आलसी बेटा
अपना मन बदल लेता है और रोबोट को मारने से रोकता है","Ленивый сын
Передумает и останавливает робота, чтобы убить."
IMG_0982.jpg,Robot stops to terminate adopted son and moves away.,रोबोट दत्तक पुत्र को समाप्त करने के लिए रुकता है और चला जाता है।,"Робот останавливается, чтобы прекратить усыновленного сына и уходит."
IMG_0983.jpg,"Robot stands aside, where the lazy son instructed him to go.","रोबोट एक तरफ खड़ा है, जहां आलसी बेटे ने उसे जाने का निर्देश दिया था।","Робот отодвигается, где ленивый сын поручил ему уйти."
IMG_0984.jpg,The adopted son walks over to the lazy son and puts his arm around him.,दत्तक पुत्र आलसी बेटे के पास जाता है और उसके चारों ओर अपना हाथ रखता है।,Принятый сын подходит к ленивому сыну и обнимает его.
IMG_0995.jpg,The father turns to the adopted son. He sees both the brothers are happy together.,पिता दत्तक पुत्र की ओर मुड़ता है। वह देखता है कि दोनों भाई एक साथ खुश हैं।,"Отец обращается к приемному сыну. Он видит, что оба брата счастливы вместе."
IMG_0986.jpg,"All of them stand there for a moment, just holding each other close.","वे सभी एक क्षण के लिए वहीं खड़े रहे, बस एक-दूसरे को पकड़कर रखा।","Все они стоят на мгновение, просто держась друг с другом близко."
IMG_0999.jpg,"Family reunites, and in the end that's all that matters.","परिवार फिर से एकजुट होता है, और अंत में यही मायने रखता है।","Семья воссоединяется, и, в конце концов, это все, что имеет значение."
IMG_1013.jpg,"Lazy Son takes the robot to his room, and instructs this was just a revenge, now I am creating you a better version of yourself.","आलसी बेटा रोबोट को अपने कमरे में ले जाता है, और निर्देश देता है कि यह सिर्फ एक बदला था, अब मैं तुम्हें अपना एक बेहतर संस्करण बना रहा हूं।","Ленивый сын берет робота в свою комнату и настаивает на том, что это была просто месть, теперь я создаю вам лучшую версию себя."
IMG_1015.jpg,He transfers the correct data.,वह सही डेटा ट्रांसफर करता है.,Он переносит правильные данные.
IMG_1018.jpg,"He is happy with the Robo for converting the Robot to innocent machine, who will now use his intellect and abilities amongst humans.","रोबोट को मासूम मशीन में बदलने के लिए वह रोबो से खुश है, जो अब अपनी बुद्धि और क्षमताओं का इस्तेमाल इंसानों के बीच करेगा।","Он доволен роботом за то, что он преобразовал робота в невинную машину, которая теперь будет использовать свой интеллект и способности среди людей."